,user_id,timestamp,heart_rate,respiration_rate,activity,avg_hr,max_hr,avg_rr,max_rr
0,abc,1633924693.387465,77,25,4,90.35,120,17.15,25
1,abc,1633924694.3959382,116,14,5,90.35,120,17.15,25
2,abc,1633924695.406369,52,24,6,90.35,120,17.15,25
3,abc,1633924696.416137,44,15,7,90.35,120,17.15,25
4,abc,1633924697.4224179,62,14,8,90.35,120,17.15,25
5,abc,1633924698.433457,109,17,9,90.35,120,17.15,25
6,abc,1633924699.443326,119,17,10,90.35,120,17.15,25
7,abc,1633924700.4521952,120,13,11,90.35,120,17.15,25
8,abc,1633924701.460945,90,12,12,90.35,120,17.15,25
9,abc,1633924702.472378,95,12,13,90.35,120,17.15,25
10,abc,1633924703.483117,105,14,14,90.35,120,17.15,25
11,abc,1633924704.492413,119,18,15,90.35,120,17.15,25
12,abc,1633924705.5003,66,25,16,90.35,120,17.15,25
13,abc,1633924706.505357,82,22,17,90.35,120,17.15,25
14,abc,1633924707.513561,43,13,18,90.35,120,17.15,25
15,abc,1633924708.523011,103,15,19,90.35,120,17.15,25
16,abc,1633924709.530538,60,21,20,90.35,120,17.15,25
17,abc,1633924710.539259,120,25,21,90.35,120,17.15,25
18,abc,1633924711.549938,113,13,22,90.35,120,17.15,25
19,abc,1633924712.560801,112,14,23,90.35,120,17.15,25
